time,test_data,Category,URL,prediction
2023.11.23,[따져보니] 오픈AI 사태…'기술-규제' 전쟁?,TV조선,https://n.news.naver.com/article/448/0000437297,거짓
2023.11.23,[팩트체크] 소방관이 지급받는 간병료가 간병인 일당도 안된다?,이데일리,https://n.news.naver.com/article/018/0005625128,거짓
2023.11.22,[따져보니] 구급차 출동 요청…어디까지 허용?,TV조선,https://n.news.naver.com/article/448/0000437095,거짓
2023.11.22,"[사실은] ""사이렌 오더는 취소 안 돼요""…문제 없나 보니",SBS,https://n.news.naver.com/article/055/0001107818,사실
2023.11.22,"""서울 편입 찬성 2배 늘었다?"" 김포시 여론조사의 함정 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/047/0002413399,사실
2023.11.22,"[사실은] 스타벅스 ""주문 취소 안 된다""…규정 알아보니",SBS,https://n.news.naver.com/article/055/0001107789,거짓
2023.11.21,‘소변→모발→손톱’ 검사 음성이면 결백? “신종마약 투약 가능성도”,한겨레,https://n.news.naver.com/article/028/0002665472,사실
2023.11.21,"[팩트체크] 무알코올, 비알코올 맥주 마시고 운전하면 음주운전?",YTN,https://factcheck.snu.ac.kr/,거짓
2023.11.21,[팩트체크] 고수익 재택 아르바이트의 실체,YTN,https://n.news.naver.com/article/052/0001962630,거짓
2023.11.21,[따져보니] 행정망 마비 사태…근본 원인은?,TV조선,https://n.news.naver.com/article/052/0001962629,거짓
2023.11.20,[따져보니] 33년 만의 '초 엔저'…우리 수출 괜찮나?,TV조선,https://n.news.naver.com/article/437/0000367801,논란
2023.11.19,"[따져보니] 소비자 우롱하는 '꼼수 인상', 막는 해법은",TV조선,https://n.news.naver.com/article/448/0000436754,거짓
2023.11.18,컴퓨터 옆에 둔 선인장…전자파 차단 효과 없다? [노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000436695,사실
2023.11.17,[따져보니] 위성정당 방지법…'꼼수' 막을까?,TV조선,https://n.news.naver.com/article/079/0003835001,거짓
2023.11.17,"""박정희 생일을 국가기념일로?"" 다른 나라 사례 살펴보니 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/448/0000436517,거짓
2023.11.16,[팩트체크] '노00존'은 합법?,연합뉴스,https://n.news.naver.com/article/047/0002412957,거짓
2023.11.16,[따져보니] 독감 환자 급증하는데…예방접종 기피 이유는?,TV조선,https://n.news.naver.com/article/001/0014333853,거짓
2023.11.14.,"[따져보니] '수사 검사' 신상 공개, 처벌 가능할까?",TV조선,https://n.news.naver.com/article/469/0000770313,사실
2023.11.14.,"""서울 편입, 김포가 3000억원 손해"" 주장은 '대체로 사실' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/448/0000436127,논란
2023.11.13.,[따져보니] '눈속임 인상'…제재 가능할까,TV조선,https://n.news.naver.com/article/047/0002412611,사실
2023.11.13.,"""서울 출퇴근 80% 넘어서 '김포구' 편입?"" MB 정부도 반대했는데 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/448/0000435976,사실
2023.11.12.,"[따져보니] 국회 통과한 노란봉투법, 쟁점은?",TV조선,https://n.news.naver.com/article/047/0002412521,거짓
2023.11.11.,"이젠 배달앱까지 팁 달라고?…""사장님 힘내세요"" 2천 원 [사실은]",SBS,https://n.news.naver.com/article/448/0000435798,사실
2023.11.11.,"[따져보니] 약발 떨어진 '공매도 금지', 일주일 천하?",TV조선,https://n.news.naver.com/article/055/0001105070,거짓
2023.11.10.,[따져보니] 이동관 탄핵안 재상정…여야 다른 해석 이유는?,TV조선,https://n.news.naver.com/article/448/0000435743,거짓
2023.11.10.,[알고보니] '수도 확장' 메가시티가 세계적인 추세?,MBC,https://n.news.naver.com/article/448/0000435682,거짓
2023.11.09.,[따져보니] 늘어나는 로봇 사고…안전 대책은?,TV조선,https://n.news.naver.com/article/214/0001311132,거짓
2023.11.08.,"[따져보니] 尹정부, 주식양도세 완화 추진…왜?",TV조선,https://n.news.naver.com/article/448/0000435547,거짓
2023.11.08.,[사실은] 과거 합친 지역 보니…주민 만족도 좌우한 건?,SBS,https://n.news.naver.com/article/448/0000435337,사실
2023.11.07.,[따져보니] 이-팔 전쟁 한 달…어디로 가나?,TV조선,https://n.news.naver.com/article/055/0001104256,거짓
2023.11.07.,"[팩트체크] 알바생 능력으로 일찍 끝난 업무, 나머지 시급도 줘야 하나?",YTN,https://n.news.naver.com/article/021/0002603619,거짓
2023.11.07.,[팩트체크] 정부의 마약과의 전쟁은 어떻게 진행되고 있나?,YTN,https://n.news.naver.com/article/052/0001956546,사실
2023.11.06.,"[따져보니] 마약 검출, 어디까지 가능할까?",TV조선,https://n.news.naver.com/article/052/0001956545,사실
2023.11.06.,[알고보니] 중대재해처벌법이 기업 위협한다?,MBC,https://n.news.naver.com/article/448/0000434991,거짓
2023.11.05.,"[따져보니] '종노릇''갑질' 은행권 잇단 압박, 이유는?",TV조선,https://n.news.naver.com/article/057/0001778854,거짓
2023.11.04.,"[따져보니] 커지는 '빈대 포비아'…""유럽·동남아 등 각지서 유입""",TV조선,https://n.news.naver.com/article/448/0000434789,거짓
2023.11.04.,중대재해처벌법 '찬성한다 80%' vs '준비 안됐다 80%'…누구 말이 맞나[노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000434735,사실
2023.11.03.,"[따져보니] 입국 퇴짜에 뿔난 태국인, 왜?",TV조선,https://n.news.naver.com/article/079/0003830137,거짓
2023.11.02.,[사실은] 후쿠시마 오염수 3차 방류 시작…생선회 매출은,SBS,https://n.news.naver.com/article/448/0000434687,거짓
2023.11.02.,[따져보니] 지하철 '의자 없는 칸'…혼잡도 낮출까,TV조선,https://n.news.naver.com/article/055/0001102739,거짓
2023.11.01.,[따져보니] '北목선 귀순'…軍 포상 논란,TV조선,https://n.news.naver.com/article/421/0007148618,사실
2023.10.31.,[따져보니] 서울시 김포구…실현 가능성은?,TV조선,https://n.news.naver.com/article/437/0000365480,사실
2023.10.30.,"[따져보니] 공매도 다시 전면금지?…""원점서 재검토""",TV조선,https://n.news.naver.com/article/056/0011592793,거짓
2023.10.30.,[팩트체크]내년부터 인공눈물 가격이 4만 원이 된다?,이데일리,https://n.news.naver.com/article/448/0000433945,논란
2023.10.29.,"[팩트와이] ""조중동 인터넷 기사도 방심위가 심의""...신문사가 응할까?",YTN,https://n.news.naver.com/article/018/0005607321,거짓
2023.10.29.,[따져보니] 갑작스런 '거래절벽'…서울 아파트에 무슨 일이?,TV조선,https://n.news.naver.com/article/052/0001953045,거짓
2023.10.29.,"[팩트와이] ""조중동 인터넷 기사도 방심위가 심의""...신문사가 응할까?",YTN,https://n.news.naver.com/article/448/0000433756,거짓
2023.10.28.,"[알고보니] 이태원 참사의 진상, 대부분 규명됐다?",MBC,https://n.news.naver.com/article/052/0001952935,거짓
2023.10.28.,[따져보니] '연금부족' 심각한데 '맹탕 개혁안'…공은 국회로?,TV조선,https://n.news.naver.com/article/214/0001308247,거짓
2023.10.28.,"[팩트와이] ""김승희 딸, 학폭위 끝나 강제전학 어렵다""...임태희 교육감 발언 따져보니",YTN,https://n.news.naver.com/article/448/0000433694,거짓
2023.10.27.,[따져보니] 불상 반환 판결 의미는?,TV조선,https://n.news.naver.com/article/052/0001952678,거짓
2023.10.27.,"""개원 의사가 7급 공무원보다 못 번다?"" 주장은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/057/0001777059,거짓
2023.10.26.,[따져보니] 국회의원 허위 발언…'면책' 어디까지?,TV조선,https://n.news.naver.com/article/047/0002410803,논란
2023.10.25.,[따져보니] 고위험 성범죄자 시설 거주…논란은?,TV조선,https://n.news.naver.com/article/057/0001776712,거짓
2023.10.24.,[따져보니] 늘어나는 北 주민 귀순…배경은?,TV조선,https://n.news.naver.com/article/009/0005204610,거짓
2023.10.23.,"[팩트체크] 슈퍼챗을 통한 정치인 후원, 정치자금법 위반이다?",YTN,https://n.news.naver.com/article/448/0000433109,거짓
2023.10.23.,[팩트체크] 반려동물 기내 탑승에 관한 규정은?,YTN,https://n.news.naver.com/article/052/0001950730,거짓
2023.10.23.,[팩트체크] 세금 안 내고 버티면 결국은 안 내도 되는 걸까?,YTN,https://n.news.naver.com/article/052/0001950729,사실
2023.10.23.,[따져보니] 여론조사 '들쭉날쭉'…이유는?,TV조선,https://n.news.naver.com/article/052/0001950728,거짓
2023.10.22.,"[따져보니] 마약사범, 공범 실토하면 '처벌 감형' 검토…효과 있을까",TV조선,https://n.news.naver.com/article/437/0000364298,논란
2023.10.21.,"[사실은] 한국형 아우토반 논쟁…속도 무제한, 안전할까",SBS,https://n.news.naver.com/article/448/0000432752,거짓
2023.10.21.,[따져보니] 국립대병원 인력난…지역·필수의료 유입 어떻게?,TV조선,https://n.news.naver.com/article/055/0001099275,거짓
2023.10.20.,[따져보니] '빈대주의보' 왜?… 퇴치 어떻게?,TV조선,https://n.news.naver.com/article/448/0000432694,거짓
2023.10.19.,[따져보니] 가자지구 병원 폭발…누구 소행?,TV조선,https://n.news.naver.com/article/448/0000432649,거짓
2023.10.18.,[따져보니] '전문직 증원'…소비자에겐 이득?,TV조선,https://n.news.naver.com/article/448/0000432465,거짓
2023.10.18.,[알고보니] 의대 증원 안해도 의사 남아돌게 된다?,MBC,https://n.news.naver.com/article/437/0000363717,거짓
2023.10.18.,"의대 정원 확대, <조선> 3년 전과 이렇게 달라졌다 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/214/0001306087,사실
2023.10.18.,[팩트체크] 쉬는 인구와 고령 취업자가 고용지표 호조에 영향을 줬다?,이데일리,https://n.news.naver.com/article/047/0002409862,거짓
2023.10.17.,"[따져보니] 북한 무기와 기술, 하마스로…거래 경로는?",TV조선,https://n.news.naver.com/article/018/0005598778,거짓
2023.10.16.,[따져보니] 의대 정원 논란…의사 부족 얼마나?,TV조선,https://n.news.naver.com/article/448/0000432082,사실
2023.10.15.,[따져보니] 끝이 안 보이는 고금리 시대…美 연준 '2% 물가 목표'는 불변?,TV조선,https://n.news.naver.com/article/448/0000431901,거짓
2023.10.14.,갈비 사자' 또 있다?…동물원에서 죽어가는 멸종 위기 동물 한 해에 400마리 꼴[노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000431751,거짓
2023.10.13.,[따져보니] 유명인 사칭 투자광고…막을 방법이 없다?,TV조선,https://n.news.naver.com/article/079/0003822876,거짓
2023.10.12.,"[따져보니] '이-팔 전쟁' SNS 가짜정보 범람, 왜?",TV조선,https://n.news.naver.com/article/448/0000431606,거짓
2023.10.12.,[사실은] '압도적 군사력' 이스라엘…전쟁의 향방은?,SBS,https://n.news.naver.com/article/448/0000431448,거짓
2023.10.11.,"[따져보니] '김행 방지법'까지…청문회 무용론, 왜?",TV조선,https://n.news.naver.com/article/055/0001096820,거짓
2023.10.11.,"닭장에 갇힌 이스라엘 어린이? ""전쟁 전 촬영, 거짓 영상"" [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/448/0000431263,거짓
2023.10.09.,[따져보니] 하마스 '극단적 공격'…배경과 이유는?,TV조선,https://n.news.naver.com/article/277/0005324525,거짓
2023.10.08.,"[팩트체크] 맨발 걷기, 정말로 건강에 효과 있을까?",YTN,https://n.news.naver.com/article/448/0000430899,논란
2023.10.08.,[팩트체크] 우리나라 골프장 숫자가 세계 8위라고?,YTN,https://n.news.naver.com/article/052/0001944555,논란
2023.10.08.,"[팩트체크] '효도백신 3종세트', 정말 효도 선물일까?",YTN,https://n.news.naver.com/article/052/0001944553,거짓
2023.10.07.,"北, 축구 중계에 등장한 '괴뢰'…우리나라 법에도 있다?[노컷체크]",노컷뉴스,https://n.news.naver.com/article/052/0001944552,거짓
2023.10.06.,"[사실은] ""후쿠시마산 수산물 659톤 수입""…확인해보니",SBS,https://n.news.naver.com/article/079/0003820519,거짓
2023.10.06.,"윤석열 검찰'도 인정했는데, ""블랙리스트 없었다""는 유인촌 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/057/0001772676,거짓
2023.10.04.,[따져보니] 남은 사형수 59명…집행 논란,TV조선,https://n.news.naver.com/article/437/0000361862,사실
2023.10.03.,[따져보니] 중국 응원 90%…여론 조작? 과민 반응?,TV조선,https://n.news.naver.com/article/009/0005194117,거짓
2023.10.02.,"[따져보니] 이재명 압수수색 공방…민주당 ""확인된 것만 376회"" vs 檢 ""36회 뿐""",TV조선,https://n.news.naver.com/article/448/0000430158,사실
2023.09.30.,임시공휴일에 모든 직장인이 쉴 수 없는 이유는?[노컷체크],노컷뉴스,https://n.news.naver.com/article/448/0000430032,거짓
2023.09.30.,[팩트체크] 약국에 약이 부족해 약사들끼리 품앗이를 한다?,연합뉴스,https://n.news.naver.com/article/079/0003818233,논란
2023.09.29.,日'수입금지' 지역서 만들었지만 '수산가공품'은 안전하다?[노컷체크],노컷뉴스,https://n.news.naver.com/article/001/0014229478,거짓
2023.09.28.,"수입금지 지역' 日수산물, 가공품으로 국내 수입됐을까[노컷체크]",노컷뉴스,https://n.news.naver.com/article/079/0003818073,거짓
2023.09.28.,[팩트체크] 일본군 장교 친일행위 판정기준은 독립군 토벌이다?,연합뉴스,https://n.news.naver.com/article/079/0003817906,거짓
2023.09.27.,[팩트체크] 아이폰15 한국 출시 가격은 하락한 환율이 반영 안 됐다?,이데일리,https://n.news.naver.com/article/001/0014226631,논란
2023.09.25.,"[팩트체크] 119 구급차, 내가 원하는 병원으로 이송 요구할 수 있다?",YTN,https://n.news.naver.com/article/018/0005585410,거짓
2023.09.25.,[팩트체크] 국내 지방 공항은 비행기 대신 파리 날린다?,YTN,https://n.news.naver.com/article/052/0001940465,거짓
2023.09.25.,[팩트체크] 탕후루가 카페 음료보다 칼로리가 낮다고?,YTN,https://n.news.naver.com/article/052/0001940464,거짓
2023.09.24.,[팩트와이] '적자·부채' 주식은 '백지신탁' 불가능?...김행 해명 따져보니,YTN,https://n.news.naver.com/article/057/0001770804,거짓
2023.09.23.,"화려하지 않은 버섯'은 독 없다?…""수수해도 치명"" 야생 버섯 주의[노컷체크]",노컷뉴스,https://n.news.naver.com/article/052/0001939769,거짓
2023.09.22.,"[사실은] ""망고 없네"" 65억 소송…한국 스타벅스 어떨까",SBS,https://n.news.naver.com/article/079/0003815944,거짓
2023.09.22.,[팩트체크] R&D 투자 규모가 3% 대가 된 건 드문 일?,이데일리,https://n.news.naver.com/article/055/0001091990,사실
2023.09.22.,"""개식용금지법=김건희법, 동물보호단체 먼저 사용"", 거짓 [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/018/0005581529,사실
2023.09.21.,세슘 우럭' '방사능 쥐노래미' 나오는데... 삼중수소 인체 농축 안된다? [오마이팩트],오마이뉴스,https://n.news.naver.com/article/021/0002595504,거짓
2023.09.21.,커피-바나나 괴담 들고나온 윤석열 정부의 오염수 대처 수준 [오마이팩트],오마이뉴스,https://n.news.naver.com/article/047/0002407147,거짓
2023.09.20.,"[따져보니] 윤미향, 뒤집힌 항소심 판결…이유는?",TV조선,https://n.news.naver.com/article/047/0002407146,거짓
2023.09.20.,[알고보니] 해외도 언론사 상대로 가짜뉴스 단속 강화 중?,MBC,https://n.news.naver.com/article/448/0000428616,거짓
2023.09.20.,"[사실은] 중심에 일본, 한국은 '빙빙' 위성국가? 홈피 이미지, 외교부에 물어봤더니…",SBS,https://n.news.naver.com/article/214/0001301205,사실
2023.09.19.,[따져보니] 국감 전 출판기념회 '봇물'…법 개정 손 놓은 국회,TV조선,https://n.news.naver.com/article/021/0002595251,거짓
2023.09.18.,[따져보니] 정책 발표 때마다 '출렁'…이유는 외압?,TV조선,https://n.news.naver.com/article/021/0002595031,거짓
2023.09.18.,"[사실은] 초밥 먹기 전 ""잠시만요""…방사능 측정기 효과는",SBS,https://n.news.naver.com/article/448/0000428274,거짓
2023.09.17.,[따져보니] 퇴임 앞두고 '최강욱 재판' 연 김명수 속내는?,TV조선,https://n.news.naver.com/article/057/0001769290,거짓
2023.09.16.,[따져보니] '50년 주담대' 사라지나…달라지는 대출 어떻게?,TV조선,https://n.news.naver.com/article/057/0001768973,논란
2023.09.15.,[따져보니] 파업 쟁점은 '수서행 KTX'…노조 노림수는?,TV조선,https://n.news.naver.com/article/448/0000428022,사실
2023.09.15.,[팩트체크] 동물원이 '동물 감옥'인가…학대해도 처벌 규정 없다?,연합뉴스,https://n.news.naver.com/article/448/0000427954,사실
2023.09.14.,[따져보니] 스토킹법 강화됐지만…보완할 점은?,TV조선,https://n.news.naver.com/article/001/0014194564,거짓
2023.09.13.,"[따져보니] 주식 백지신탁…실효성 논란, 왜?",TV조선,https://n.news.naver.com/article/448/0000427785,논란
2023.09.12.,[따져보니] 도넘은 부정채용…처벌법이 없다?,TV조선,https://n.news.naver.com/article/448/0000427597,거짓
2023.09.11.,"[따져보니] 모로코 지진, 튀르키예 때와 다르다…""한국도 안심 못 해""",TV조선,https://n.news.naver.com/article/009/0005185409,거짓
2023.09.09.,[따져보니] 경기 '상저하저'?…L자형 장기 저성장 현실화 하나,TV조선,https://n.news.naver.com/article/448/0000427225,거짓
2023.09.09.,"최초 '길냥이 보호조례' 제정 가능할까?…'중성화 수술, 급식소 설치'[노컷체크]",노컷뉴스,https://n.news.naver.com/article/448/0000426990,사실
2023.09.09.,[팩트체크] '자유시 참변'은 일본의 사주로 일어났다?,연합뉴스,https://n.news.naver.com/article/079/0003810890,거짓
2023.09.08.,[따져보니] 교권보호법 여야 공방…현장 목소리는?,TV조선,https://n.news.naver.com/article/001/0014181512,거짓
2023.09.08.,[팩트체크] 초등학생 수학여행시 일반 전세버스는 안된다?,YTN,https://n.news.naver.com/article/448/0000426911,사실
2023.09.08.,[팩트체크] 우리나라에서 팁을 주고 받는 건 법 위반이다?,YTN,https://n.news.naver.com/article/052/0001933441,논란
2023.09.08.,[팩트체크] 우리나라에서 가장 나이가 많은 연령대는?,YTN,https://n.news.naver.com/article/052/0001933440,거짓
2023.09.08.,[팩트체크]20년대 공산당은 북한 수립 공산당과 다르게 봐야 한다?,이데일리,https://n.news.naver.com/article/052/0001933439,거짓
2023.09.07.,뉴스타파 논란에 이재명 페북글 삭제? 알고보니... [오마이팩트],오마이뉴스,https://n.news.naver.com/article/018/0005570645,사실
2023.09.06.,[따져보니] 서로 절실한 북러…뭘 주고 받나,TV조선,https://n.news.naver.com/article/047/0002405546,거짓
2023.09.05.,"[따져보니] 조총련은 어떤 단체?…""약간 친북성향"" vs ""북한 대표부""",TV조선,https://n.news.naver.com/article/057/0001766774,거짓
2023.09.04.,"[따져보니] 교육부, 공언한 대로 교사 대규모 징계 나설까",TV조선,https://n.news.naver.com/article/022/0003852395,거짓
2023.09.03.,"[따져보니] '추락, 또 추락' 바닥 안 보이는 출산율, 어디까지?",TV조선,https://n.news.naver.com/article/448/0000426195,사실
2023.09.02.,[따져보니] 규제에 꺾인 비대면 진료…소비자 선택권은?,TV조선,https://n.news.naver.com/article/448/0000426021,거짓
2023.09.02.,"[사실은] ""홍범도 논란의 핵심, 역사의 소급 적용""",SBS,https://n.news.naver.com/article/448/0000425957,거짓
2023.09.02.,尹정권에서도 예우하던 홍범도 장군 흉상 이전…갑자기 왜?[노컷체크],노컷뉴스,https://n.news.naver.com/article/055/0001086515,거짓
2023.09.02.,"[팩트와이] ""정권교체 강화에 최선"" 원희룡 발언은 선거법 위반?...과거 사례 따져보니",YTN,https://n.news.naver.com/article/079/0003808316,거짓
2023.09.01.,[따져보니] 오염수 방류 국제소송…실효성은?,TV조선,https://n.news.naver.com/article/052/0001930669,거짓
2023.09.01.,"[알고보니] 일본 정부, 이 와중에 과거사 왜곡‥관동대학살 기록 없다?",MBC,https://n.news.naver.com/article/448/0000425883,논란
2023.09.01.,"""윤, 현직 대통령 노량진수산시장 첫방문"" 대통령실 브리핑은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/057/0001765898,논란
2023.09.01.,[팩트체크] 과거 어느 정부 때 언론 압박 심했나?,연합뉴스,https://n.news.naver.com/article/047/0002404869,거짓
2023.08.31.,"""홍범도, 자유시 사변 '독립군 몰살' 가담"" 주장은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/001/0014164708,거짓
2023.08.28.,"[팩트체크] 비키니 오토바이 주행, 공연음란죄 적용 가능한가?",YTN,https://n.news.naver.com/article/009/0005179091,거짓
2023.08.28.,[팩트체크] 이틀 근무한 알바생에게 알바비 3백만원 지급했다?,YTN,https://n.news.naver.com/article/052/0001928589,거짓
2023.08.28.,"[팩트체크] 경찰의 불심검문, 반드시 응해야 하나?",YTN,https://n.news.naver.com/article/052/0001928588,거짓
2023.08.26.,"[사실은] 후쿠시마 오염수 '30년' 방류 계획, 따져 보니…",SBS,https://n.news.naver.com/article/469/0000757074,거짓
2023.08.25.,[팩트체크] 핵 과학자들이 말하는 오염수 '안전에 문제없어'vs'日本도 모르는 걸?',YTN,https://n.news.naver.com/article/057/0001764510,거짓
2023.08.25.,"""검수완박 때문에 지구대 인력 부족"" 국힘 주장은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/052/0001927607,거짓
2023.08.24.,[팩트체크] 日 오염수 '세슘우럭'에 대한 오해와 진실,YTN,https://n.news.naver.com/article/629/0000234733,거짓
2023.08.24.,[팩트체크] 범죄자 중 정신질환자는 얼마나 될까?,연합뉴스,https://n.news.naver.com/article/052/0001926880,거짓
2023.08.22.,"[알고보니] 여성안심귀갓길, 문구만 써놔 효과 없다?",MBC,https://n.news.naver.com/article/001/0014148509,사실
2023.08.22.,[팩트체크] 여운형 선생·홍범도 장군만 건국훈장 두번 받았다?,연합뉴스,https://n.news.naver.com/article/214/0001294778,사실
2023.08.20.,"잼버리 샤워장 태국인 사건, '성범죄'로 보기 어려운 이유는[팩트체크]",머니투데이,https://n.news.naver.com/article/032/0003243690,거짓
2023.08.19.,"""이미 판매 중인데""…대한상의 '무라벨 생수' 홍보 왜?[노컷체크]",노컷뉴스,https://n.news.naver.com/article/008/0004927207,거짓
2023.08.18.,[팩트체크] “정진석·조현오 사건 서로 다르다” 전주혜 해명…과연?,한겨레,https://n.news.naver.com/article/079/0003803302,거짓
2023.08.17.,"[사실은] 야스쿠니 신사 논란, 한일 모두 수위 낮췄다?",SBS,https://n.news.naver.com/article/009/0005173924,거짓
2023.08.17.,[팩트체크] 파행 잼버리 영지 배수는 과연 문제가 없었을까?,연합뉴스,https://n.news.naver.com/article/055/0001082213,거짓
2023.08.16.,"""극우뇌 아이는 천재과?"" 좌·우뇌인 구분법은 '거짓' [오마이팩트]",오마이뉴스,https://n.news.naver.com/article/001/0014135573,거짓
